Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,16000.0,1.97689,1.509470457625058E-8,16000.0,84.11874999999999,67.69327812626098,-2.0072260136491655,64.23645320197045,16000.0,47112.0,22.0,14.0,14.0,5.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,17000.0,2.079051,1.6858055713689992E-8,17000.0,83.74117647058823,66.76963967123979,-4.262542436816321,62.97387809778967,17000.0,66720.0,29.0,20.0,20.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,18000.0,2.133984,1.7883763745841055E-8,18000.0,83.54444444444444,66.37242857026624,-6.164874551971314,62.40639675085671,18000.0,72176.0,29.0,20.0,20.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,19000.0,2.18935,1.8925921509249345E-8,19000.0,84.01052631578946,67.23202000580493,-3.898768809849523,63.104202088899676,19000.0,72760.0,31.0,21.0,21.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,20000.0,2.308479,2.1951830395393903E-8,20000.0,83.72,66.69577445069203,-6.824146981627274,62.754518416838266,20000.0,98184.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,21000.0,2.37566,2.3658246002677416E-8,21000.0,83.2904761904762,65.83854415797799,-8.6041473228103,61.80056607881559,21000.0,98184.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,22000.0,2.44363,2.539258000544376E-8,22000.0,83.22727272727273,65.56544408242114,-7.95787009947337,60.99365750528541,22000.0,98632.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,23000.0,2.515436,2.7233859248873264E-8,23000.0,82.85217391304349,64.7377825835511,-10.507144858503757,60.109234348133924,23000.0,99120.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,24000.0,2.590038,2.9155635297712357E-8,24000.0,82.48333333333333,63.87026391014713,-13.101963949421606,59.116989205484785,24000.0,99576.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,25000.0,2.660568,3.0989593476470976E-8,25000.0,82.3,63.421009868857766,-15.444821288807745,58.48968105065665,25000.0,100512.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,26000.0,2.727518,3.273046261113551E-8,26000.0,82.28076923076924,63.36725774047808,-15.957714573370218,58.50297243739868,26000.0,100512.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,27000.0,2.798082,3.456530487578777E-8,27000.0,82.37407407407407,63.52065180864298,-16.642156862745097,58.660528144544834,27000.0,100512.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,28000.0,2.863771,3.6273384824809106E-8,28000.0,82.23928571428571,63.24368100634031,-19.228002877007953,58.287200134205676,28000.0,100512.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,29000.0,2.970859,3.90579433594313E-8,29000.0,81.98275862068965,62.6001791933338,-21.880102635875936,57.53068357311224,29000.0,100512.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,30000.0,3.067362,4.1567265153345143E-8,30000.0,81.51333333333334,61.63021010054395,-26.188850967007966,56.32726986376881,30000.0,100512.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,31000.0,3.140354,4.346524155181316E-8,31000.0,81.19032258064516,60.936589318746435,-28.32306338028171,55.413671815262255,31000.0,100512.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,32000.0,3.200015,4.501657827239898E-8,32000.0,80.859375,60.21417343763922,-30.65273037542665,54.619545084092756,32000.0,100512.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,33000.0,3.250067,4.631805671792892E-8,33000.0,80.66363636363636,59.80810317563567,-32.799167533818945,54.26462155963302,33000.0,100512.0,38.0,27.0,27.0,6.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,34000.0,3.31613,4.810299327390062E-8,34000.0,80.33529411764707,59.14092175732401,-35.152617748130204,53.365418148845656,34000.0,104440.0,40.0,28.0,28.0,7.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,35000.0,3.369848,4.9554383945133955E-8,35000.0,79.84,58.0781098923072,-39.19905306766622,52.18864344762163,35000.0,104440.0,40.0,28.0,28.0,7.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,36000.0,3.419067,5.090092315648993E-8,36000.0,79.4,57.1649743802341,-41.987363584147005,50.7700477960701,36000.0,105752.0,40.0,28.0,28.0,7.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,37000.0,3.478435,5.252954316842887E-8,37000.0,79.1972972972973,56.701379554628275,-42.93407613741874,50.06811547194292,37000.0,106040.0,42.0,29.0,29.0,8.0,0.0,0.0,1.0
trees.HoeffdingTree,ArffFileStream -f /Users/wprzemysaw/workspace/moa-semi-supervised-learning/data/elecNormNew.arff,1,38000.0,3.523975,5.377929610717628E-8,38000.0,78.89736842105263,56.1121549112547,-45.08775104034739,49.09864161482797,38000.0,106080.0,42.0,29.0,29.0,8.0,0.0,0.0,1.0
