Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1660000.0,117.646028,8.452652374729098E-5,1660000.0,95.52295180722892,90.81785229237954,90.82518860342728,89.38648729703098,1660000.0,3840416.0,1485.0,944.0,944.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1661000.0,117.755399,8.46354002025123E-5,1661000.0,95.5244431065623,90.8209137811874,90.82853924571924,89.39007071954099,1661000.0,3847992.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1662000.0,117.86372,8.474323207808242E-5,1662000.0,95.52563176895306,90.82343475005194,90.83117872691427,89.39320893798013,1662000.0,3848016.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1663000.0,117.972325,8.485134734555662E-5,1663000.0,95.52681900180396,90.82588123868116,90.83364549549992,89.395995541098,1663000.0,3848040.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1664000.0,118.081442,8.496017284056997E-5,1664000.0,95.52818509615385,90.82872847443623,90.8365012924288,89.39940252239829,1664000.0,3855144.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1665000.0,118.18948,8.506792266531327E-5,1665000.0,95.52924924924925,90.83094396016591,90.8386142354825,89.4020632647192,1665000.0,3855160.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1666000.0,118.298046,8.517620087920582E-5,1666000.0,95.53037214885954,90.83330296541486,90.84098286251265,89.40495348019903,1666000.0,3855224.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1667000.0,118.406481,8.528434911360548E-5,1667000.0,95.53131373725256,90.83522787544533,90.84296858289922,89.40715745287166,1667000.0,3855248.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1668000.0,118.515897,8.539367774526482E-5,1668000.0,95.5326139088729,90.83785987159354,90.84576772161384,89.41012118188937,1668000.0,3862384.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1669000.0,118.622079,8.549977539877301E-5,1669000.0,95.53355302576392,90.83985431138744,90.84793914422798,89.41268035512152,1669000.0,3862400.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1670000.0,118.7284,8.560601282203568E-5,1670000.0,95.53467065868263,90.8420746407118,90.85016159548857,89.41498603256795,1670000.0,3862432.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1671000.0,118.833841,8.571137137349072E-5,1671000.0,95.53530819868342,90.84342730541502,90.85166964233161,89.41664964365155,1671000.0,3862448.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1672000.0,118.936474,8.581392475786307E-5,1672000.0,95.53606459330143,90.84506270424657,90.85325277728418,89.4188347774804,1672000.0,3862472.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1673000.0,119.038806,8.591617758751743E-5,1673000.0,95.53729826658697,90.84760611121109,90.85576901879037,89.42185082544162,1673000.0,3862480.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1674000.0,119.142026,8.601941364765167E-5,1674000.0,95.53864994026284,90.85039132919015,90.85845993025387,89.425056568294,1674000.0,3866072.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1675000.0,119.2445,8.61219035917148E-5,1675000.0,95.53958208955224,90.85232519468391,90.86041433473403,89.42743246742772,1675000.0,3866072.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1676000.0,119.347219,8.622463899907346E-5,1676000.0,95.54069212410501,90.85465364249508,90.86273315997246,89.43027457413784,1676000.0,3866088.0,1490.0,948.0,948.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1677000.0,119.450055,8.632738841541318E-5,1677000.0,95.54192009540847,90.85714998004558,90.86518195225244,89.43311208855823,1677000.0,3862216.0,1492.0,949.0,949.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1678000.0,119.553049,8.643038970094795E-5,1678000.0,95.54296781883195,90.85923973242494,90.86741765118906,89.43535833246224,1678000.0,3865744.0,1492.0,949.0,949.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1679000.0,119.657241,8.653479198504033E-5,1679000.0,95.54437164979154,90.86215831938276,90.87031601813487,89.438851642759,1679000.0,3873272.0,1492.0,949.0,949.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1680000.0,119.759636,8.663740868848852E-5,1680000.0,95.54547619047618,90.86442622476312,90.8725788294469,89.44151607842251,1680000.0,3873840.0,1492.0,949.0,949.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1681000.0,119.863107,8.674121100789971E-5,1681000.0,95.54681737061273,90.86713381674367,90.87529315397106,89.44454784908939,1681000.0,3877848.0,1492.0,949.0,949.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1682000.0,119.966218,8.684466668571242E-5,1682000.0,95.54774078478002,90.86902147757239,90.87728488156075,89.44672347729524,1682000.0,3878392.0,1492.0,949.0,949.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1683000.0,120.069445,8.694823875128809E-5,1683000.0,95.54848484848485,90.87053249400036,90.87868686401367,89.44839970423577,1683000.0,3878392.0,1492.0,949.0,949.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1684000.0,120.171963,8.705110050768902E-5,1684000.0,95.54982185273158,90.87321758821093,90.88130400236541,89.45131821572849,1684000.0,3878432.0,1492.0,949.0,949.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1685000.0,120.275438,8.715492482871438E-5,1685000.0,95.55103857566766,90.87578206611352,90.8839298634748,89.45450095094476,1685000.0,3878520.0,1497.0,953.0,953.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1686000.0,120.378734,8.725858536532149E-5,1686000.0,95.55160142348754,90.87696157235763,90.88475043054362,89.45586647471657,1686000.0,3879112.0,1497.0,953.0,953.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1687000.0,120.483125,8.736354720341042E-5,1687000.0,95.55269709543568,90.87924269578707,90.88712821739907,89.45862821382856,1687000.0,3886608.0,1497.0,953.0,953.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1688000.0,120.586983,8.746806727287048E-5,1688000.0,95.5531990521327,90.88033042793023,90.88826710528711,89.46001201970331,1688000.0,3890112.0,1497.0,953.0,953.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1689000.0,120.690088,8.757182954213892E-5,1689000.0,95.55441089402012,90.88278336831888,90.89092671469939,89.4627380097,1689000.0,3890112.0,1497.0,953.0,953.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1690000.0,120.794144,8.767664212246943E-5,1690000.0,95.55520710059172,90.8844169273934,90.89238103667566,89.46455294792517,1690000.0,3893576.0,1497.0,953.0,953.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1691000.0,120.898709,8.7781958747353E-5,1691000.0,95.55659373151981,90.88720571824375,90.89531024504797,89.46756079372466,1691000.0,3893256.0,1499.0,954.0,954.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1692000.0,121.002121,8.788611451238809E-5,1692000.0,95.55768321513001,90.88949834959983,90.8975642955494,89.47041057049518,1692000.0,3893272.0,1499.0,954.0,954.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1693000.0,121.105883,8.79906135606145E-5,1693000.0,95.55835794447725,90.89089347211117,90.89888034818013,89.47212943077228,1693000.0,3892928.0,1501.0,955.0,955.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1694000.0,121.210015,8.809558437265042E-5,1694000.0,95.55932703659977,90.89289038166852,90.90109682757019,89.47445745707928,1694000.0,3896608.0,1501.0,955.0,955.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1695000.0,121.314418,8.820081994081745E-5,1695000.0,95.56035398230088,90.89506322831494,90.90305757939515,89.47720214281819,1695000.0,3896296.0,1503.0,956.0,956.0,9.0,3984.0666666666666,0.0,1.017491898283719
trees.HoeffdingTree,generators.RandomTreeGenerator,1,1696000.0,121.418655,8.830588818520723E-5,1696000.0,95.5615566037736,90.89756329942716,90.90553235908143,89.48021566144844,1696000.0,3896296.0,1503.0,956.0,956.0,9.0,3984.0666666666666,0.0,1.017491898283719
